government_entity,source_file,ingestion_date
الديوان الملكي,Government Entity.csv,2026-01-31
المركز الوطني للوثائق والمحفوظات,Government Entity.csv,2026-01-31
الأمانة العامة لمجلس المحميات الملكية,Government Entity.csv,2026-01-31
مكتب شؤون المهمات والمبادرات,Government Entity.csv,2026-01-31
المجلس الاقتصادي الأعلى,Government Entity.csv,2026-01-31
مجلس الخدمة العسكرية,Government Entity.csv,2026-01-31
إدارة المتعاقدين,Government Entity.csv,2026-01-31
هيئة البيعة,Government Entity.csv,2026-01-31
المجلس الأعلى لشؤون البترول والمعادن,Government Entity.csv,2026-01-31
الشـؤون الخاصة لخادم الحرمين الشريفين,Government Entity.csv,2026-01-31
ديوان سمو ولي العهد,Government Entity.csv,2026-01-31
الشـؤون الخاصة لسمو ولي العهد,Government Entity.csv,2026-01-31
المراسم الملكية,Government Entity.csv,2026-01-31
رئاسة الحرس الملكي,Government Entity.csv,2026-01-31
مركز الأمن الوطني,Government Entity.csv,2026-01-31
الطيران الملكي السعودي,Government Entity.csv,2026-01-31
مركز دعم اتخاذ القرار,Government Entity.csv,2026-01-31
مجلس الشورى,Government Entity.csv,2026-01-31
رئاسة مجلس الوزراء,Government Entity.csv,2026-01-31
المجلس الأعلى لشئون البترول والمعادن,Government Entity.csv,2026-01-31
الأمانة العامة لمجلس الوزراء,Government Entity.csv,2026-01-31
اللجنة الوطنية لمكافحة المخدرات,Government Entity.csv,2026-01-31
هيئة الخبراء بمجلس الوزراء,Government Entity.csv,2026-01-31
ادارة التعاون الفنى,Government Entity.csv,2026-01-31
مكتبة الملك فهد الوطنية,Government Entity.csv,2026-01-31
المركز الوطني لقياس أداء الأجهزة العامة,Government Entity.csv,2026-01-31
مجلس الشؤون الاقتصادية والتنمية,Government Entity.csv,2026-01-31
مكتب التوطين وميزان المدفوعات,Government Entity.csv,2026-01-31
وزارة الحرس الوطني,Government Entity.csv,2026-01-31
الشؤون الصحیة بوزارة الحرس الوطني,Government Entity.csv,2026-01-31
جامعة الملك سعود بن عبد العزیز للعلوم الصحیة,Government Entity.csv,2026-01-31
وكالة الحرس الوطني القطاع الغربي,Government Entity.csv,2026-01-31
وكالة الحرس الوطني القطاع الشرقي,Government Entity.csv,2026-01-31
كلية الملك خالد العـسكرية,Government Entity.csv,2026-01-31
اللواء الخاص,Government Entity.csv,2026-01-31
ديوان المظالم,Government Entity.csv,2026-01-31
الديوان العام للمحاسبة,Government Entity.csv,2026-01-31
وزارة الخدمة المدنية-الديوان العام,Government Entity.csv,2026-01-31
معهد الادارة العامة,Government Entity.csv,2026-01-31
الإدارة العامة للشؤون الإدارية والمالية,Government Entity.csv,2026-01-31
إدارة والمنافسات,Government Entity.csv,2026-01-31
هيئة الرقابة والتحقيق,Government Entity.csv,2026-01-31
وزارة الرياضة,Government Entity.csv,2026-01-31
إصدار أوامر الاركاب,Government Entity.csv,2026-01-31
أكاديمية مهد الرياضية,Government Entity.csv,2026-01-31
الهيئة العامة  للموانىء,Government Entity.csv,2026-01-31
ميناء الملك فهد الصناعي بالجبيل,Government Entity.csv,2026-01-31
ميناء الملك فهد الصناعي بينبع,Government Entity.csv,2026-01-31
ميناء ينبع التجاري,Government Entity.csv,2026-01-31
ميناء الملك عبدالعزيز بالدمام,Government Entity.csv,2026-01-31
ميناء جدة الاسلامي,Government Entity.csv,2026-01-31
ميناء الجبيل التجاري,Government Entity.csv,2026-01-31
ميناء ضباء,Government Entity.csv,2026-01-31
ميناء جازان,Government Entity.csv,2026-01-31
ميناء رأس الخير,Government Entity.csv,2026-01-31
مدينة الملك عبدالعزيز للعلوم والتقنية,Government Entity.csv,2026-01-31
وحدة خدمات الإنترنت,Government Entity.csv,2026-01-31
تحول مدينة الملك عبدالعزيز للعلوم والتقنية,Government Entity.csv,2026-01-31
منافسات تحقيق الرؤية مدينة الملك عبدالعزيز للعلوم,Government Entity.csv,2026-01-31
رئاسة الهيئة الملكية للجبيل وينبع,Government Entity.csv,2026-01-31
الادارة العامة لمشروع الجبيل,Government Entity.csv,2026-01-31
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل,Government Entity.csv,2026-01-31
برنامج رأس الخير,Government Entity.csv,2026-01-31
برنامج الخدمات الصحية بالهيئة الملكية برأس الخير,Government Entity.csv,2026-01-31
الادارة العامة لمشروع ينبع,Government Entity.csv,2026-01-31
برنامج الخدمات الصحية بالهيئة الملكية بينبع,Government Entity.csv,2026-01-31
مدينة جازان للصناعات الاساسية والتحويلية,Government Entity.csv,2026-01-31
مستشفى الملك فيصل التخصصي ومركز الأبحاث,Government Entity.csv,2026-01-31
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,Government Entity.csv,2026-01-31
مستشفى الملك فيصل التخصصي ومركز الأبحاث-المدينة,Government Entity.csv,2026-01-31
إعانة مستشفى الملك فيصل التخصصي ومركز الأبحاث,Government Entity.csv,2026-01-31
هيئة السوق المالية,Government Entity.csv,2026-01-31
صندوق التنمية السياحية,Government Entity.csv,2026-01-31
وزارة الخارجية - الديوان العام,Government Entity.csv,2026-01-31
معهد الأمير سعود الفيصل للدراسات الدبلوماسية,Government Entity.csv,2026-01-31
وزارة الاقتصاد والتخطيط - الديوان العام,Government Entity.csv,2026-01-31
المنتدى الاقتصادي العالمي,Government Entity.csv,2026-01-31
وزارة الاقتصاد والتخطيط ( الديوان العام ),Government Entity.csv,2026-01-31
الهيئة العامة للإحصاء,Government Entity.csv,2026-01-31
وزارة الدفاع - الديوان العام,Government Entity.csv,2026-01-31
الشؤون التنفيذية بوزارة الدفاع,Government Entity.csv,2026-01-31
رئاسة هيئة الأركان العامة,Government Entity.csv,2026-01-31
القوات البرية,Government Entity.csv,2026-01-31
القوات الجوية,Government Entity.csv,2026-01-31
هيئة الإمدادت والتموين,Government Entity.csv,2026-01-31
كلية الملك فيصل الجويه,Government Entity.csv,2026-01-31
القوات البحرية,Government Entity.csv,2026-01-31
مركز التشغيل والصيانه بالرياض,Government Entity.csv,2026-01-31
مركز التشغيل والصيانه بالدمام,Government Entity.csv,2026-01-31
مركز التشغيل والصيانه براس مشعاب,Government Entity.csv,2026-01-31
مركز التشغيل والصيانه بجازان,Government Entity.csv,2026-01-31
ادارة التموين,Government Entity.csv,2026-01-31
قوات الدفاع الجوي,Government Entity.csv,2026-01-31
قوة الصواريخ الاستراتيجيه,Government Entity.csv,2026-01-31
كلية الملك عبدالله  للدفاع الجوي,Government Entity.csv,2026-01-31
كلية الملك عبدالعزيز الحربية,Government Entity.csv,2026-01-31
كلية الملك فيصل الجوية,Government Entity.csv,2026-01-31
الادارة العامة للخدمات الطبية للقوات المسلحة,Government Entity.csv,2026-01-31
الإدارة العامة للخدمات الطبية للقوات المسلحة ( إدارة البرامج والعقود ),Government Entity.csv,2026-01-31
المستشفيات المتنقلة,Government Entity.csv,2026-01-31
الإدارة الهندسية والأشغال,Government Entity.csv,2026-01-31
مستشفى القوات المسلحة بالرياض,Government Entity.csv,2026-01-31
مركز الأمير سلطان لأمراض وجراحة القلب,Government Entity.csv,2026-01-31
مستشفيات الهدا والأمير سلطان والأمير منصور ومركز التأهيل,Government Entity.csv,2026-01-31
الإخلاء الطبي,Government Entity.csv,2026-01-31
مستشفيات القوات المسلحة بالخرج,Government Entity.csv,2026-01-31
مستشفى المدينة المنورة,Government Entity.csv,2026-01-31
مستشفى الملك فهد بجدة,Government Entity.csv,2026-01-31
مستشفى حفر الباطن,Government Entity.csv,2026-01-31
مستشفى تبوك,Government Entity.csv,2026-01-31
