primary_activity_id,secondary_activity,source_file,ingestion_date
1',تجارة المواد الغذائية,Secondary Activity.csv,2026-01-31
1',تجارة الحاصلات الزراعية,Secondary Activity.csv,2026-01-31
1',تجارة المواشي والدواجن والأسماك ومنتجاتها,Secondary Activity.csv,2026-01-31
1',تجارة الملابس والأقمشة والعطور والساعات وأدوات التجميل والنظارات,Secondary Activity.csv,2026-01-31
1',تجارة الكماليات,Secondary Activity.csv,2026-01-31
1',تجارة الأثاث المنزلى والمفروشات والستائر والسجاد,Secondary Activity.csv,2026-01-31
1',تجارة الأوانى والأدوات المنزلية,Secondary Activity.csv,2026-01-31
1',تجارة الأدوات والآلات والأجهزة,Secondary Activity.csv,2026-01-31
1',تجارة مواد البناء والأدوات الكهربائية والصحية,Secondary Activity.csv,2026-01-31
1',تجارة السيارات والمعدات والماكينات,Secondary Activity.csv,2026-01-31
1',تجارة قطع الغيار الجديدة,Secondary Activity.csv,2026-01-31
1',تجارة قطع الغيار المستعملة والسكراب,Secondary Activity.csv,2026-01-31
1',تجارة الفحم والحطب,Secondary Activity.csv,2026-01-31
1',تجارة المواد الكيماوية,Secondary Activity.csv,2026-01-31
1',تجارة الدراجات بأنواعها والألعاب,Secondary Activity.csv,2026-01-31
1',مستودعات الادوية والصيدليات,Secondary Activity.csv,2026-01-31
1',تجارة المعادن الثمينة والأحجار الكريمة,Secondary Activity.csv,2026-01-31
1',مستودعات الادوية والصيدليات - الأدوية,Secondary Activity.csv,2026-01-31
1',مستودعات الادوية والصيدليات - المستلزمات الطبية,Secondary Activity.csv,2026-01-31
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة),Secondary Activity.csv,2026-01-31
2',مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم),Secondary Activity.csv,2026-01-31
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة),Secondary Activity.csv,2026-01-31
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة)- إنشاء الطرق,Secondary Activity.csv,2026-01-31
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة)- إنشاءات عامة,Secondary Activity.csv,2026-01-31
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاء الطرق,Secondary Activity.csv,2026-01-31
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,Secondary Activity.csv,2026-01-31
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة),Secondary Activity.csv,2026-01-31
3',مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم),Secondary Activity.csv,2026-01-31
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة),Secondary Activity.csv,2026-01-31
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاء الطرق,Secondary Activity.csv,2026-01-31
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,Secondary Activity.csv,2026-01-31
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاء الطرق,Secondary Activity.csv,2026-01-31
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,Secondary Activity.csv,2026-01-31
4',بيع وشراء الأراضي والعقارات,Secondary Activity.csv,2026-01-31
5',صُنع المنتجات الغذائية,Secondary Activity.csv,2026-01-31
5',صُنع المشروبات,Secondary Activity.csv,2026-01-31
5',صُنع منتجات التبغ,Secondary Activity.csv,2026-01-31
5',صُنع المنسوجات,Secondary Activity.csv,2026-01-31
5',صُنع الملبوسات,Secondary Activity.csv,2026-01-31
5',صُنع منتجات الجلدية والمنتجات ذات الصلة,Secondary Activity.csv,2026-01-31
5',صُنع الخشب ومنتجاته والفلين ، باستثناء الأثاث,Secondary Activity.csv,2026-01-31
5',صُنع الورق ومنتجاته,Secondary Activity.csv,2026-01-31
5',صُنع فحم الكوك والمنتجات النفطية المكررة,Secondary Activity.csv,2026-01-31
5',صُنع المواد الكيميائية والمنتجات الكيميائية,Secondary Activity.csv,2026-01-31
5',صُنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,Secondary Activity.csv,2026-01-31
5',صُنع منتجات المطاط واللدائن,Secondary Activity.csv,2026-01-31
5',صُنع منتجات المعادن اللافلزية الأخرى,Secondary Activity.csv,2026-01-31
5',صُنع الفلّزات القاعدية,Secondary Activity.csv,2026-01-31
5',صُنع منتجات المعادن المشكّلة ، باستثناء الآلات والمعدات,Secondary Activity.csv,2026-01-31
5',صُنع الحواسيب والمنتجات الإلكترونية والبصرية,Secondary Activity.csv,2026-01-31
5',صُنع المعدات الكهربائية,Secondary Activity.csv,2026-01-31
5',صُنع الآلات والمعدات غيرالمصنّفة في موضع آخر,Secondary Activity.csv,2026-01-31
5',صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة,Secondary Activity.csv,2026-01-31
5',صُنع معدات النقل الأخرى,Secondary Activity.csv,2026-01-31
5',صُنع الأثاث,Secondary Activity.csv,2026-01-31
5',الصناعة التحويلية الأخرى,Secondary Activity.csv,2026-01-31
5',أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد,Secondary Activity.csv,2026-01-31
5',التعدين,Secondary Activity.csv,2026-01-31
6',إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,Secondary Activity.csv,2026-01-31
7',المناجم والمحاجر,Secondary Activity.csv,2026-01-31
7',البترول,Secondary Activity.csv,2026-01-31
8',خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني,Secondary Activity.csv,2026-01-31
9',الاتصالات,Secondary Activity.csv,2026-01-31
9',تقنية المعلومات,Secondary Activity.csv,2026-01-31
10',أنشطة زراعية,Secondary Activity.csv,2026-01-31
10',الصيد,Secondary Activity.csv,2026-01-31
10',أنشطة بيطرية,Secondary Activity.csv,2026-01-31
11',الأنشطة الطبية,Secondary Activity.csv,2026-01-31
11',أنشطة النقاهة,Secondary Activity.csv,2026-01-31
12',أنشطة التعليم,Secondary Activity.csv,2026-01-31
12',أنشطة التدريب,Secondary Activity.csv,2026-01-31
13',التوظيف,Secondary Activity.csv,2026-01-31
13',الاستقدام,Secondary Activity.csv,2026-01-31
14',أنشطة الأمن و السلامة,Secondary Activity.csv,2026-01-31
15',انشطة النقل والتخزين,Secondary Activity.csv,2026-01-31
15',أنشطة البريد,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات القانونية,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات المالية,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات الإدارية,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات الهندسية,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات و الترجمة,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات الامنية,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات الأمنية,Secondary Activity.csv,2026-01-31
16',الأنشطة الاستشارية الأخرى,Secondary Activity.csv,2026-01-31
16',انشطة الاستشارات الهندسية - تصميم,Secondary Activity.csv,2026-01-31
16',أنشطة الاستشارات الهندسية- اشراف,Secondary Activity.csv,2026-01-31
17',أنشطة المعارض والمؤتمرات,Secondary Activity.csv,2026-01-31
17',أنشطة الايواء,Secondary Activity.csv,2026-01-31
17',أنشطة المطاعم وخدمات التموين,Secondary Activity.csv,2026-01-31
17',أنشطة سياحية,Secondary Activity.csv,2026-01-31
18',المالية والتمويل,Secondary Activity.csv,2026-01-31
18',أنشطة التأمين,Secondary Activity.csv,2026-01-31
19',خدمات صيانة وإصلاح الطائرات,Secondary Activity.csv,2026-01-31
19',خدمات التأجير,Secondary Activity.csv,2026-01-31
19',خدمات عامة (تعقيب المعاملات),Secondary Activity.csv,2026-01-31
19',خدمات الحلاقة للرجال والأطفال,Secondary Activity.csv,2026-01-31
19',خدمات غسيل الملابس والمفروشات والمنسوجات ومستلزماتها,Secondary Activity.csv,2026-01-31
19',خدمات التخليص الجمركي,Secondary Activity.csv,2026-01-31
19',الخدمات التجارية والإدارية,Secondary Activity.csv,2026-01-31
19',خدمات الخياطة و صالونات العناية الشخصية و التزيين,Secondary Activity.csv,2026-01-31
19',خدمات صيانة وإصلاح المركبات,Secondary Activity.csv,2026-01-31
19',خدمات صيانة وإصلاح الأجهزة والمعدات والآلات,Secondary Activity.csv,2026-01-31
19',خدمات تنجيد الأثاث,Secondary Activity.csv,2026-01-31
19',خدمات صيانة واصلاح المنتجات المعدنية والحاويات والصهاريج,Secondary Activity.csv,2026-01-31
19',الخدمات الاجتماعية,Secondary Activity.csv,2026-01-31
19',الخدمات الرياضية,Secondary Activity.csv,2026-01-31
19',الخدمات البيئية,Secondary Activity.csv,2026-01-31
19',خدمات محطات الوقود وخدمات المركبات الأخرى,Secondary Activity.csv,2026-01-31
19',خدمات الموانئ,Secondary Activity.csv,2026-01-31
