tender_type,source_file,ingestion_date
منافسة عامة,tender_types.csv,2026-01-31
شراء مباشر,tender_types.csv,2026-01-31
منافسة محدودة,tender_types.csv,2026-01-31
المزايدة العكسية الالكترونية,tender_types.csv,2026-01-31
المنافسة على مرحلتين (المرحلة الاولى),tender_types.csv,2026-01-31
المنافسة على مرحلتين (المرحلة الثانية),tender_types.csv,2026-01-31
منافسة عامة (النظام القديم),tender_types.csv,2026-01-31
شراء مباشر (النظام القديم),tender_types.csv,2026-01-31
منافسة إتفاقية إطارية,tender_types.csv,2026-01-31
مسابقة,tender_types.csv,2026-01-31
مشاريع التحول الوطني,tender_types.csv,2026-01-31
المشاركة فى الدخل,tender_types.csv,2026-01-31
منافسات الشركات الكبرى,tender_types.csv,2026-01-31
