الرابط,اسم المنافسة,رقم المنافسة,الرقم المرجعي,الغرض من المنافسة,قيمة وثائق المنافسة,حالة المنافسة,مدة العقد,هل التأمين من متطلبات المنافسة,نوع المنافسة,الجهة الحكوميه,الوقت المتبقى,طريقة تقديم العروض,مطلوب ضمان الإبتدائي,الضمان النهائي,آخر موعد لإستلام الإستفسارات,آخر موعد لتقديم العروض,تاريخ فتح العروض,تاريخ فحص العروض,فترة التوقف,التاريخ المتوقع للترسية,تاريخ بدء الأعمال / الخدمات,بداية إرسال الأسئلة و الاستفسارات,اقصى مدة للاجابة على الاستفسارات,مكان فتح العرض,مجال التصنيف,مكان التنفيذ,التفاصيل,نشاط المنافسة,تشمل المنافسة على بنود توريد,أعمال الصيانة والتشغيل,عنوان الضمان الإبتدائى,أعمال  الإنشاء,الحزمة,نوع الاتفاقية,مدة الاتفاقية,عدد ايام استلام الاستفسارات,عدد أيام استلام العرض,قائمة الموردين المتقدمين,قائمة الموردين المرسى عليهم  -  ( ترسية كاملة ),الدول
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=GxOh24u1stmOoDzIpcI2EA==,SLEEVE MEDIUM SCD EXPRESS KNEE LENGTH UNIVERSAL,40048995,260139004436,الحاجة الماسة للبند لمســتشفى...عرض المزيد...الحاجة الماسة للبند لمســتشفى قوى الأمن برياض,مجانا,معتمدة,90 يوم,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"18
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,29/01/202610/08/1447,01/02/202613/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KBMkaY*@@**1ceG6kmglUt3FRA==,SLEEVE LARGE SCD EXPRESS KNEE LENGTH UNIVERSAL,40048996,260139004438,الحاجة الماسة للبند لمســتشفى...عرض المزيد...الحاجة الماسة للبند لمســتشفى قوى الأمن برياض,مجانا,معتمدة,90 يوم,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"16
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,29/01/202610/08/1447,01/02/202613/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bIu%20vOCLF%20Xbqxt8x*@@**9Xgw==,"CYSTOTOME IRRIGATING FORMED 27G X 5/8""",40049095,260139004433,الحاجة الماسة للبند لمســتشفى...عرض المزيد...الحاجة الماسة للبند لمســتشفى قوى الأمن برياض,مجانا,معتمدة,90 يوم,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"15
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,28/01/202609/08/1447,29/01/202610/08/1447,22/01/202603/08/1447,1,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Gm*@@**GSWgbPJ*@@**BBbWc8w4QNg==,ACYCLOVIR 3% OPHTHALMIC OINTMENT,40049063,260139004442,الحاجة الماسة للبند لمســتشفى...عرض المزيد...الحاجة الماسة للبند لمســتشفى قوى الأمن برياض,200.00,معتمدة,90 يوم,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"14
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,28/01/202609/08/1447,29/01/202610/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BwxmAaxud*@@**xqy*@@**a0d%20lWyg==,"BAG, PLASTIC, TRANSPARENT, FOR MEDICINE, SIZE: 20 X 30 CM , WITH LOGO",40049073,260139004447,الحاجة الماسة للبند لمســتشفى...عرض المزيد...الحاجة الماسة للبند لمســتشفى قوى الأمن برياض,200.00,معتمدة,90 يوم,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"13
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,29/01/202610/08/1447,01/02/202613/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=d%20zLhfsATY78xT2rotrHAA==,FACTOR IX 500IUTS ANTI-HAEMOPHILIC RECOMBINANT INJ.(BENEFIX),40049157,260139005579,الحاجة الماسة للدواء لمستشفى ق...عرض المزيد...الحاجة الماسة للدواء لمستشفى قوى الامن بالرياض,مجانا,معتمدة,3 شهر,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"12
                           دقائق:14
                           ساعة:4
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,26/01/202607/08/1447,29/01/202610/08/144709:59 AM,لا يوجد,29/01/202610/08/144710:00 AM,,28/01/202609/08/1447,29/01/202610/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Rnj97er%20LYISMNR3X3dfvQ==,BACILLUS CALMETTE GUERIN 81MG INL.+APP.SYSTEM(RIVM BCG)-ANTINEOPLASTIC,40049186,260139005580,الحاجة الماسة للدواء لمستشفى ق...عرض المزيد...الحاجة الماسة للدواء لمستشفى قوى الامن بالرياض,مجانا,معتمدة,3 شهر,لا,شراء مباشر,مستشفى قوى الأمن بمنطقة الرياض,"11
                           دقائق:14
                           ساعة:4
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,27/01/202608/08/1447,29/01/202610/08/144709:59 AM,لا يوجد,29/01/202610/08/144710:00 AM,,28/01/202609/08/1447,29/01/202610/08/1447,22/01/202603/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kBt3kEv*@@**8OW3J5ZWnj82kQ==,تأمين وتوريد قطع غيار بوبكات رقم الحرس 26459 لقطاع شروره التابعة لقيادة حرس الحدود بمنطقة نجران,7 / 26,260139006301,تأمين وتوريد قطع غيار بوبكات ر...عرض المزيد...تأمين وتوريد قطع غيار بوبكات رقم الحرس 26459 لقطاع شروره التابعة لقيادة حرس الحدود بمنطقة نجران,200.00,معتمدة,30 يوم,لا,شراء مباشر,حرس الحدود,"10
                           دقائق:14
                           ساعة:5
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,28/01/202609/08/1447,30/01/202611/08/144709:59 AM,لا يوجد,30/01/202611/08/144710:00 AM,,19/02/202602/09/1447,22/02/202605/09/1447,22/01/202603/08/1447,6,لا يوجد,غير مطلوب,داخل المملكةمنطقة نجراننجران,,تجارة قطع الغيار الجديدة,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4aZ%20EPkz*@@**Zz4PhRVlS6bwg==,تأمين وتوريد قطع غيار معدة من نوع بوكلين كوماتسو رقم الحرس 27459 لقيادة حرس الحدود بمنطقة نجران,6 / 26,260139005921,تأمين وتوريد قطع غيار معدة من...عرض المزيد...تأمين وتوريد قطع غيار معدة من نوع بوكلين كوماتسو رقم الحرس 27459 لقيادة حرس الحدود بمنطقة نجران,200.00,معتمدة,30 يوم,لا,شراء مباشر,حرس الحدود,"9
                           دقائق:14
                           ساعة:4
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,27/01/202608/08/1447,29/01/202610/08/144709:59 AM,لا يوجد,29/01/202610/08/144710:00 AM,,19/02/202602/09/1447,22/02/202605/09/1447,21/01/202602/08/1447,6,لا يوجد,غير مطلوب,داخل المملكةمنطقة نجراننجران,,تجارة قطع الغيار الجديدة,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kKsGgS4pFLecJ3%20aKGWJiQ==,تامين قطع غيار كهرباء لبلدية نفي,2026-6,260139004898,تامين قطع غيار كهرباء لبلدية ن...عرض المزيد...تامين قطع غيار كهرباء لبلدية نفي,500.00,معتمدة,1 شهر,لا,منافسة عامة,أمانة منطقة الرياض,"8
                           دقائق:14
                           ساعة:12
                           يوم",ملف واحد للعرض الفني والمالي معا,ضمان إبتدائى,5.00,31/01/202612/08/1447,06/02/202618/08/144709:59 AM,06/02/202618/08/144710:00 AM,لا يوجد,5,12/02/202624/08/1447,16/02/202628/08/1447,23/01/202604/08/1447,5,الدوادمي,غير مطلوب,داخل المملكةمنطقة الرياضنفي,,تجارة مواد البناء والأدوات الكهربائية والصحية,لا,,منصة,,,,,,,,,
