Parent-ID,النشاط الفرعي
1',تجارة المواد الغذائية
1',تجارة الحاصلات الزراعية
1',تجارة المواشي والدواجن والأسماك ومنتجاتها
1',تجارة الملابس والأقمشة والعطور والساعات وأدوات التجميل والنظارات
1',تجارة الكماليات
1',تجارة الأثاث المنزلى والمفروشات والستائر والسجاد
1', تجارة الأوانى والأدوات المنزلية
1',تجارة الأدوات والآلات والأجهزة
1',تجارة مواد البناء والأدوات الكهربائية والصحية
1',تجارة السيارات والمعدات والماكينات
1',تجارة قطع الغيار الجديدة
1',تجارة قطع الغيار المستعملة والسكراب
1',تجارة الفحم والحطب
1',تجارة المواد الكيماوية
1',تجارة الدراجات بأنواعها والألعاب
1',مستودعات الادوية والصيدليات
1',تجارة المعادن الثمينة والأحجار الكريمة
1',مستودعات الادوية والصيدليات - الأدوية
1',مستودعات الادوية والصيدليات - المستلزمات الطبية
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة)
2',"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)"
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة)- إنشاء الطرق
2',مقاولات الإنشاءات العامة (التشييد وبناء المرافق العامة)- إنشاءات عامة
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاء الطرق
2',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)
3',"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)"
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاء الطرق
3',مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاء الطرق
3',مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
4',بيع وشراء الأراضي والعقارات
5',صُنع المنتجات الغذائية
5',صُنع المشروبات
5', صُنع منتجات التبغ
5',صُنع المنسوجات
5',صُنع الملبوسات
5', صُنع منتجات الجلدية والمنتجات ذات الصلة
5',"صُنع الخشب ومنتجاته والفلين ، باستثناء الأثاث"
5',صُنع الورق ومنتجاته
5',صُنع فحم الكوك والمنتجات النفطية المكررة
5',صُنع المواد الكيميائية والمنتجات الكيميائية
5',صُنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية
5',صُنع منتجات المطاط واللدائن
5',صُنع منتجات المعادن اللافلزية الأخرى
5',صُنع الفلّزات القاعدية
5',"صُنع منتجات المعادن المشكّلة ، باستثناء الآلات والمعدات"
5',صُنع الحواسيب والمنتجات الإلكترونية والبصرية
5',صُنع المعدات الكهربائية
5',صُنع الآلات والمعدات غيرالمصنّفة في موضع آخر
5',صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة
5',صُنع معدات النقل الأخرى
5',صُنع الأثاث
5',الصناعة التحويلية الأخرى
5',أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد
5',التعدين
6',إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
7',المناجم والمحاجر
7',البترول
8',خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني
9',الاتصالات
9',تقنية المعلومات
10',أنشطة زراعية
10',الصيد
10',أنشطة بيطرية
11',الأنشطة الطبية
11',أنشطة النقاهة
12',أنشطة التعليم
12',أنشطة التدريب
13',التوظيف
13',الاستقدام
14',أنشطة الأمن و السلامة
15',انشطة النقل والتخزين
15',أنشطة البريد
16',انشطة الاستشارات القانونية
16',انشطة الاستشارات المالية
16',انشطة الاستشارات الإدارية
16',انشطة الاستشارات الهندسية
16',انشطة الاستشارات و الترجمة
16',انشطة الاستشارات الامنية
16',انشطة الاستشارات الأمنية
16',الأنشطة الاستشارية الأخرى
16',انشطة الاستشارات الهندسية - تصميم
16',أنشطة الاستشارات الهندسية- اشراف
17',أنشطة المعارض والمؤتمرات
17',أنشطة الايواء
17',أنشطة المطاعم وخدمات التموين
17',أنشطة سياحية
18',المالية والتمويل
18',أنشطة التأمين
19',خدمات صيانة وإصلاح الطائرات
19',خدمات التأجير
19',خدمات عامة (تعقيب المعاملات)
19',خدمات الحلاقة للرجال والأطفال
19',خدمات غسيل الملابس والمفروشات والمنسوجات ومستلزماتها
19',خدمات التخليص الجمركي
19',الخدمات التجارية والإدارية
19',خدمات الخياطة و صالونات العناية الشخصية و التزيين
19',خدمات صيانة وإصلاح المركبات
19',خدمات صيانة وإصلاح الأجهزة والمعدات والآلات
19',خدمات تنجيد الأثاث
19',خدمات صيانة واصلاح المنتجات المعدنية والحاويات والصهاريج
19',الخدمات الاجتماعية
19',الخدمات الرياضية
19',الخدمات البيئية
19',خدمات محطات الوقود وخدمات المركبات الأخرى
19',خدمات الموانئ
